CountryRegion,ReportDate,DailyConfirmed
"Antigua and Barbuda",2020-02-15,0
"Antigua and Barbuda",2020-02-16,0
"Antigua and Barbuda",2020-02-17,0
"Antigua and Barbuda",2020-02-18,0
"Antigua and Barbuda",2020-02-19,0
"Antigua and Barbuda",2020-02-20,0
"Antigua and Barbuda",2020-02-21,0
"Antigua and Barbuda",2020-02-22,0
"Antigua and Barbuda",2020-02-23,0
"Antigua and Barbuda",2020-02-24,0
"Antigua and Barbuda",2020-02-25,0
"Antigua and Barbuda",2020-02-26,0
"Antigua and Barbuda",2020-02-27,0
"Antigua and Barbuda",2020-02-28,0
"Antigua and Barbuda",2020-02-29,0
"Antigua and Barbuda",2020-03-01,0
"Antigua and Barbuda",2020-03-02,0
"Antigua and Barbuda",2020-03-03,0
"Antigua and Barbuda",2020-03-04,0
"Antigua and Barbuda",2020-03-05,0
"Antigua and Barbuda",2020-03-06,0
"Antigua and Barbuda",2020-03-07,0
"Antigua and Barbuda",2020-03-08,0
"Antigua and Barbuda",2020-03-09,0
"Antigua and Barbuda",2020-03-10,0
"Antigua and Barbuda",2020-03-11,0
"Antigua and Barbuda",2020-03-12,0
"Antigua and Barbuda",2020-03-13,1
"Antigua and Barbuda",2020-03-14,1
"Antigua and Barbuda",2020-03-15,1
"Antigua and Barbuda",2020-03-16,1
"Antigua and Barbuda",2020-03-17,1
"Antigua and Barbuda",2020-03-18,1
"Antigua and Barbuda",2020-03-19,1
"Antigua and Barbuda",2020-03-20,1
"Antigua and Barbuda",2020-03-21,1
